Age,Attrition,Department,EmployeeNumber,Gender,JobRole,YearsAtCompany,MonthlyIncome,PerformanceRating
30.0, nan , sales ,648.0, male , sales representative ,1.0,2033.0,3.0
40.0,NO, human resources ,,MALE, manager ,21.0,16437.0,4.0
32.0,YES, research & development ,1692.0,MALE,LABORATORY TECHNICIAN,1.0,1393.0,3.0
47.0, no , research & development ,1443.0, female , research director ,20.0,17169.0,3.0
20.0, no , research & development ,,NAN,LABORATORY TECHNICIAN,2.0,3033.0,3.0
32.0, no ,RESEARCH & DEVELOPMENT,966.0, female ,MANUFACTURING DIRECTOR,8.0,6725.0,3.0
35.0, no ,RESEARCH & DEVELOPMENT,464.0, male , manufacturing director ,16.0,8095.0,3.0
, no , sales ,479.0, female , sales executive ,1.0,6653.0,3.0
30.0,NAN, human resources ,1747.0, female ,HUMAN RESOURCES,4.0,2180.0,3.0
35.0, no , research & development ,1564.0, male ,LABORATORY TECHNICIAN,3.0,2450.0,3.0
33.0,NO, sales ,855.0, male ,SALES EXECUTIVE,9.0,4037.0,
47.0,NO,SALES,1676.0,FEMALE, manager ,,15972.0,3.0
36.0,NO, human resources ,1890.0,MALE,HUMAN RESOURCES,10.0,,4.0
36.0, no ,RESEARCH & DEVELOPMENT,1435.0,MALE,LABORATORY TECHNICIAN,,,3.0
32.0,NO,RESEARCH & DEVELOPMENT,362.0, male , laboratory technician ,6.0,2176.0,3.0
51.0, yes ,RESEARCH & DEVELOPMENT,1081.0, male ,RESEARCH SCIENTIST,10.0,2461.0,3.0
46.0, no ,SALES,1863.0,FEMALE,SALES EXECUTIVE,19.0,13225.0,3.0
30.0,NO, research & development ,1745.0, nan , research scientist ,9.0,4968.0,
30.0,NO, nan ,861.0, nan ,RESEARCH SCIENTIST,5.0,3761.0,3.0
44.0,YES,RESEARCH & DEVELOPMENT,1295.0,FEMALE,HEALTHCARE REPRESENTATIVE,10.0,7978.0,3.0
34.0,NO,RESEARCH & DEVELOPMENT,1615.0, male ,MANUFACTURING DIRECTOR,9.0,4724.0,3.0
48.0,NO, research & development ,1576.0,FEMALE, research scientist ,8.0,2367.0,
46.0, no ,SALES,1602.0, male , manager ,26.0,17567.0,3.0
36.0, no ,SALES,1585.0, female , nan ,1.0,6815.0,3.0
32.0,NO, research & development ,96.0,MALE,NAN,10.0,6220.0,
29.0, no , research & development ,1202.0, female ,RESEARCH SCIENTIST,5.0,2168.0,3.0
49.0, no ,RESEARCH & DEVELOPMENT,275.0, male ,MANUFACTURING DIRECTOR,7.0,6804.0,3.0
38.0,NO, research & development ,245.0, female , laboratory technician ,2.0,2288.0,3.0
38.0,NO,NAN,107.0, female , research scientist ,13.0,5329.0,3.0
27.0, no ,RESEARCH & DEVELOPMENT,850.0, male , research scientist ,,1706.0,3.0
33.0,YES,RESEARCH & DEVELOPMENT,584.0,MALE, laboratory technician ,4.0,3408.0,3.0
52.0,NO, research & development ,,FEMALE, manager ,5.0,16555.0,
49.0, no , research & development ,396.0,FEMALE, research director ,3.0,18665.0,3.0
55.0, nan ,RESEARCH & DEVELOPMENT,, male ,RESEARCH SCIENTIST,5.0,2662.0,4.0
32.0,NO,RESEARCH & DEVELOPMENT,727.0, female ,RESEARCH DIRECTOR,7.0,11159.0,3.0
43.0, no , sales ,1706.0,MALE,SALES EXECUTIVE,10.0,7847.0,3.0
39.0, no ,RESEARCH & DEVELOPMENT,2062.0, male , healthcare representative ,7.0,9991.0,3.0
24.0, yes , research & development ,1219.0,FEMALE, laboratory technician ,1.0,2210.0,3.0
29.0,NO, nan ,455.0, male ,NAN,,3983.0,3.0
34.0, nan ,SALES,1950.0, nan , sales executive ,14.0,9888.0,4.0
38.0,NO,RESEARCH & DEVELOPMENT,1668.0, male , research scientist ,13.0,4735.0,3.0
22.0,NAN,RESEARCH & DEVELOPMENT,1783.0, female , laboratory technician ,1.0,,3.0
, yes , research & development ,165.0, female ,HEALTHCARE REPRESENTATIVE,40.0,10312.0,3.0
59.0,NO,SALES,81.0,NAN, sales executive ,21.0,7637.0,3.0
36.0, no ,RESEARCH & DEVELOPMENT,178.0, male , manufacturing director ,3.0,4941.0,4.0
30.0,NAN,RESEARCH & DEVELOPMENT,57.0,NAN, laboratory technician ,12.0,4011.0,
33.0,YES, sales ,1157.0,FEMALE,SALES EXECUTIVE,5.0,8224.0,3.0
40.0,NO,RESEARCH & DEVELOPMENT,1340.0,MALE, research scientist ,4.0,3544.0,3.0
42.0, no ,RESEARCH & DEVELOPMENT,1998.0,MALE, research scientist ,,5410.0,3.0
35.0,NO, research & development ,496.0,MALE, healthcare representative ,1.0,6540.0,3.0
,NO, sales ,2046.0,FEMALE, sales executive ,5.0,4850.0,3.0
21.0,NO,SALES,484.0, male ,SALES REPRESENTATIVE,3.0,2610.0,4.0
57.0,NO,NAN,568.0, male , manager ,1.0,14118.0,
37.0,NO,RESEARCH & DEVELOPMENT,1411.0,NAN, nan ,3.0,3629.0,3.0
43.0, no ,NAN,526.0,FEMALE,HEALTHCARE REPRESENTATIVE,,,3.0
23.0, nan ,RESEARCH & DEVELOPMENT,1735.0, female ,LABORATORY TECHNICIAN,3.0,,3.0
,NO, sales ,789.0,MALE, sales executive ,10.0,7587.0,3.0
40.0, no , research & development ,1724.0, nan , nan ,1.0,6516.0,3.0
40.0,NO, research & development ,352.0,MALE, research director ,21.0,19436.0,3.0
58.0,YES, research & development ,977.0,NAN,RESEARCH SCIENTIST,1.0,2479.0,
38.0, no , sales ,230.0,FEMALE,SALES EXECUTIVE,8.0,,4.0
33.0,NO, sales ,1220.0, nan ,NAN,10.0,4539.0,
51.0, yes ,RESEARCH & DEVELOPMENT,1081.0, male ,RESEARCH SCIENTIST,10.0,2461.0,3.0
44.0,NO, research & development ,1288.0, male , manager ,25.0,19190.0,3.0
33.0, no , research & development ,1099.0, male , healthcare representative ,3.0,7119.0,3.0
, no ,HUMAN RESOURCES,470.0, male , human resources ,3.0,2696.0,3.0
42.0,NO,RESEARCH & DEVELOPMENT,836.0, male ,MANUFACTURING DIRECTOR,9.0,4434.0,3.0
33.0, nan , research & development ,939.0,MALE,RESEARCH SCIENTIST,3.0,2799.0,3.0
50.0,NO, nan ,569.0,MALE, manager ,27.0,17046.0,
29.0,NO, research & development ,,FEMALE, research scientist ,7.0,2514.0,4.0
51.0,NO,SALES,851.0,FEMALE, manager ,20.0,16307.0,3.0
46.0,NO, research & development ,575.0, male ,RESEARCH DIRECTOR,3.0,17861.0,3.0
21.0,YES,RESEARCH & DEVELOPMENT,923.0,NAN,RESEARCH SCIENTIST,1.0,2693.0,3.0
42.0,NO, sales ,35.0,MALE, sales executive ,9.0,6825.0,3.0
34.0,NAN, research & development ,1265.0, female ,NAN,1.0,2585.0,3.0
56.0,YES, research & development ,161.0, female , research scientist ,5.0,4963.0,3.0
34.0, no , sales ,1779.0,FEMALE, sales executive ,2.0,6029.0,3.0
36.0, no , research & development ,1949.0, male ,LABORATORY TECHNICIAN,,2810.0,4.0
42.0,NO, research & development ,1595.0, nan ,MANAGER,1.0,,4.0
39.0,NO,RESEARCH & DEVELOPMENT,2022.0,MALE,MANAGER,6.0,,3.0
47.0, no ,RESEARCH & DEVELOPMENT,574.0, female , manufacturing director ,,5070.0,3.0
36.0,NO, human resources ,829.0, male , human resources ,,2143.0,3.0
41.0,NO, sales ,1708.0,MALE, sales executive ,10.0,9241.0,3.0
, no , nan ,1307.0, female , manager ,19.0,17123.0,3.0
,NAN, research & development ,63.0,MALE, laboratory technician ,1.0,2269.0,3.0
28.0, no , research & development ,1834.0,NAN,NAN,,3591.0,4.0
26.0,NO,RESEARCH & DEVELOPMENT,384.0,FEMALE,MANUFACTURING DIRECTOR,6.0,6397.0,4.0
55.0,NO,RESEARCH & DEVELOPMENT,84.0,FEMALE, manager ,5.0,14756.0,3.0
33.0, nan , research & development ,428.0, nan ,MANAGER,10.0,11878.0,
30.0,NAN, research & development ,1084.0,MALE, manufacturing director ,6.0,9957.0,3.0
59.0,NO,HUMAN RESOURCES,140.0,FEMALE, manager ,3.0,18844.0,4.0
54.0,NO,RESEARCH & DEVELOPMENT,522.0,MALE, nan ,4.0,19406.0,3.0
, yes ,SALES,1457.0,MALE,SALES EXECUTIVE,7.0,10096.0,3.0
22.0,YES, nan ,926.0, female , manufacturing director ,3.0,4171.0,3.0
42.0,NO, research & development ,2031.0, nan , manager ,22.0,,3.0
43.0,NO, nan ,,MALE, manager ,25.0,16959.0,3.0
47.0, no ,SALES,1503.0, female , sales executive ,5.0,4591.0,3.0
44.0,NO,RESEARCH & DEVELOPMENT,132.0, male , laboratory technician ,3.0,2042.0,3.0
44.0, no , nan ,1039.0, female ,SALES EXECUTIVE,12.0,13320.0,3.0
50.0, no , sales ,1591.0, male ,MANAGER,1.0,19331.0,3.0
40.0, no ,SALES,954.0, male ,SALES EXECUTIVE,1.0,9705.0,3.0
43.0,NO, research & development ,46.0, female , research scientist ,5.0,2645.0,3.0
44.0, yes , research & development ,1333.0,MALE, laboratory technician ,3.0,2362.0,3.0
30.0, nan , research & development ,194.0,FEMALE,RESEARCH SCIENTIST,5.0,,3.0
43.0,NO,RESEARCH & DEVELOPMENT,448.0, female ,LABORATORY TECHNICIAN,9.0,5257.0,3.0
53.0, no ,RESEARCH & DEVELOPMENT,32.0, female , manager ,14.0,19094.0,3.0
,NAN,SALES,653.0, male , sales executive ,7.0,5460.0,4.0
37.0,YES,HUMAN RESOURCES,133.0, male ,HUMAN RESOURCES,3.0,2073.0,4.0
46.0,NO, sales ,1801.0,MALE,SALES EXECUTIVE,2.0,7991.0,3.0
34.0, no , sales ,1163.0,FEMALE,SALES EXECUTIVE,6.0,5714.0,4.0
36.0,NAN, research & development ,742.0,FEMALE,RESEARCH DIRECTOR,8.0,11713.0,3.0
51.0,NO, research & development ,1367.0,FEMALE, manufacturing director ,5.0,13142.0,3.0
29.0, no ,RESEARCH & DEVELOPMENT,1590.0,MALE,NAN,6.0,8853.0,3.0
50.0, no ,RESEARCH & DEVELOPMENT,385.0,MALE, research director ,10.0,19144.0,3.0
59.0,NO,RESEARCH & DEVELOPMENT,1283.0, male , nan ,9.0,10512.0,3.0
40.0,NO,RESEARCH & DEVELOPMENT,202.0,FEMALE,RESEARCH SCIENTIST,20.0,5605.0,3.0
37.0, no ,SALES,1787.0,MALE, sales executive ,5.0,4189.0,3.0
33.0,NO,RESEARCH & DEVELOPMENT,, female , research director ,15.0,13458.0,3.0
36.0,NO, nan ,397.0,MALE, research scientist ,8.0,4485.0,
33.0, nan , research & development ,252.0,FEMALE,RESEARCH SCIENTIST,8.0,2756.0,3.0
33.0,NAN,NAN,446.0, male , sales executive ,7.0,4682.0,3.0
, yes , research & development ,881.0, female , research scientist ,10.0,2022.0,3.0
33.0, no ,RESEARCH & DEVELOPMENT,242.0,MALE,NAN,3.0,,
30.0, yes ,NAN,1017.0,NAN,LABORATORY TECHNICIAN,3.0,2422.0,3.0
34.0,NO, research & development ,28.0, female ,RESEARCH DIRECTOR,12.0,11994.0,3.0
22.0, yes , research & development ,1203.0,MALE, research scientist ,,2853.0,3.0
35.0,YES,RESEARCH & DEVELOPMENT,261.0, male ,MANUFACTURING DIRECTOR,1.0,5916.0,3.0
54.0,NO, research & development ,1830.0,FEMALE,RESEARCH SCIENTIST,7.0,6854.0,3.0
45.0, no , sales ,606.0, nan ,SALES EXECUTIVE,8.0,4805.0,3.0
43.0,YES,SALES,1188.0, female , sales executive ,4.0,5346.0,3.0
54.0, no , research & development ,1013.0, female , manufacturing director ,10.0,10739.0,3.0
25.0,NO, sales ,645.0,MALE,SALES REPRESENTATIVE,7.0,2096.0,3.0
54.0,NO,HUMAN RESOURCES,148.0, female , manager ,5.0,,3.0
25.0, yes ,SALES,142.0,MALE,SALES EXECUTIVE,6.0,5744.0,3.0
40.0, no , research & development ,763.0, female , research scientist ,4.0,2342.0,4.0
34.0,NAN,RESEARCH & DEVELOPMENT,2068.0, male ,LABORATORY TECHNICIAN,4.0,4404.0,3.0
36.0,NO, human resources ,829.0, male , human resources ,,2143.0,3.0
47.0, no , research & development ,1934.0,NAN,RESEARCH SCIENTIST,8.0,5467.0,3.0
42.0,NO,SALES,387.0,MALE, nan ,20.0,4907.0,4.0
41.0, no , sales ,410.0, male , manager ,22.0,16015.0,3.0
33.0,NO, sales ,1395.0,MALE, nan ,5.0,9998.0,3.0
42.0, no , research & development ,270.0, female ,MANUFACTURING DIRECTOR,5.0,5265.0,3.0
45.0, no ,RESEARCH & DEVELOPMENT,1719.0,FEMALE, nan ,21.0,,3.0
50.0, no ,HUMAN RESOURCES,644.0,MALE, manager ,32.0,18200.0,3.0
29.0,NO, research & development ,1753.0, male , healthcare representative ,3.0,6294.0,3.0
30.0,NO, nan ,833.0, female ,MANUFACTURING DIRECTOR,0.0,6877.0,
30.0,NO, sales ,228.0,FEMALE,SALES EXECUTIVE,10.0,9419.0,3.0
,NO, research & development ,1363.0, male , manufacturing director ,10.0,,3.0
34.0,NO, nan ,1289.0,MALE,HUMAN RESOURCES,10.0,4490.0,
25.0, nan ,SALES,1399.0, male , sales executive ,3.0,6232.0,3.0
43.0,NO,NAN,661.0, male ,RESEARCH DIRECTOR,1.0,16627.0,3.0
,YES, sales ,,NAN, sales executive ,14.0,10400.0,3.0
55.0, no , research & development ,1770.0,MALE, research director ,1.0,19038.0,
39.0, yes , research & development ,1310.0,NAN, research scientist ,5.0,,
36.0,NO, research & development ,1682.0, male , nan ,3.0,5347.0,3.0
34.0, no , research & development ,649.0, male ,RESEARCH SCIENTIST,,3622.0,3.0
29.0, no , research & development ,564.0, male , research director ,10.0,11935.0,3.0
30.0, no , sales ,121.0, female , sales executive ,11.0,5209.0,3.0
58.0, yes , research & development ,918.0, male ,LABORATORY TECHNICIAN,1.0,2380.0,3.0
50.0, nan ,SALES,323.0, female , manager ,7.0,19517.0,3.0
33.0,NO, sales ,992.0, male , manager ,10.0,17444.0,3.0
39.0, no ,RESEARCH & DEVELOPMENT,602.0, female ,LABORATORY TECHNICIAN,8.0,3755.0,3.0
40.0, no , research & development ,1449.0, male ,LABORATORY TECHNICIAN,8.0,3975.0,3.0
31.0, yes , nan ,,FEMALE,SALES EXECUTIVE,2.0,4559.0,3.0
43.0, no ,SALES,1076.0, male ,SALES EXECUTIVE,1.0,10798.0,3.0
56.0, no ,RESEARCH & DEVELOPMENT,1071.0, nan , research scientist ,5.0,2942.0,3.0
35.0,NO,NAN,,MALE,LABORATORY TECHNICIAN,1.0,1281.0,3.0
46.0, no ,NAN,, female , nan ,1.0,5258.0,3.0
54.0, no , research & development ,450.0, female , research scientist ,4.0,4869.0,3.0
, no , research & development ,170.0,FEMALE,MANUFACTURING DIRECTOR,15.0,6567.0,3.0
49.0,NO,RESEARCH & DEVELOPMENT,944.0, female ,NAN,,7403.0,3.0
34.0, no , sales ,786.0,MALE, sales executive ,,6274.0,4.0
36.0, no , human resources ,878.0,MALE, human resources ,5.0,2342.0,4.0
40.0, nan ,RESEARCH & DEVELOPMENT,1649.0,MALE,LABORATORY TECHNICIAN,4.0,2166.0,3.0
37.0,NAN, research & development ,340.0,FEMALE,RESEARCH SCIENTIST,3.0,3920.0,3.0
48.0, no , research & development ,1024.0,MALE,HEALTHCARE REPRESENTATIVE,15.0,10999.0,
34.0,NO, research & development ,1285.0, female , laboratory technician ,11.0,4444.0,3.0
,YES,RESEARCH & DEVELOPMENT,1405.0,FEMALE,RESEARCH SCIENTIST,8.0,,3.0
50.0, yes ,SALES,47.0,NAN, sales representative ,3.0,2683.0,3.0
41.0,NAN,SALES,176.0,MALE,SALES EXECUTIVE,9.0,8189.0,3.0
40.0, no ,RESEARCH & DEVELOPMENT,, female ,LABORATORY TECHNICIAN,4.0,3377.0,3.0
45.0, yes ,SALES,1277.0, female , manager ,24.0,18824.0,3.0
45.0,NO,RESEARCH & DEVELOPMENT,1922.0, male , nan ,4.0,5399.0,
33.0,NO, sales ,1114.0, female ,SALES EXECUTIVE,3.0,4302.0,3.0
27.0,NO,SALES,1403.0, female , sales executive ,6.0,5769.0,3.0
31.0,YES, sales ,163.0,MALE,SALES EXECUTIVE,7.0,6172.0,3.0
31.0,YES, nan ,, male ,NAN,1.0,8161.0,3.0
28.0,YES, research & development ,1960.0, male ,LABORATORY TECHNICIAN,4.0,,3.0
40.0,NO,RESEARCH & DEVELOPMENT,1985.0, female , laboratory technician ,10.0,,3.0
40.0, no ,RESEARCH & DEVELOPMENT,1180.0, nan ,RESEARCH SCIENTIST,1.0,,3.0
28.0, yes ,SALES,1933.0,FEMALE,SALES EXECUTIVE,2.0,9854.0,3.0
40.0, no ,RESEARCH & DEVELOPMENT,253.0, female , manager ,,19033.0,3.0
33.0, no , research & development ,1549.0, male , nan ,15.0,5207.0,3.0
36.0, nan , research & development ,1257.0,MALE, research scientist ,,3692.0,3.0
25.0, no , research & development ,350.0,FEMALE,MANUFACTURING DIRECTOR,4.0,4898.0,3.0
38.0,NO,SALES,361.0,MALE, sales executive ,8.0,5249.0,3.0
49.0, yes ,SALES,840.0,FEMALE, sales executive ,9.0,7654.0,3.0
36.0,NO, sales ,857.0, male ,SALES EXECUTIVE,,6201.0,
47.0, no ,RESEARCH & DEVELOPMENT,1993.0, male , healthcare representative ,17.0,8633.0,4.0
24.0, nan , research & development ,1646.0,FEMALE,NAN,6.0,3760.0,3.0
29.0, no , nan ,1852.0, male , laboratory technician ,11.0,3812.0,3.0
28.0,YES,NAN,828.0,MALE, research scientist ,,,3.0
34.0, no , nan ,1281.0, nan , sales executive ,3.0,4538.0,3.0
40.0,NO,SALES,1239.0, female ,NAN,5.0,6852.0,3.0
32.0, no ,SALES,436.0,FEMALE,SALES EXECUTIVE,,,3.0
, no ,SALES,183.0, male , sales executive ,2.0,8639.0,3.0
30.0, no , research & development ,1989.0, nan ,LABORATORY TECHNICIAN,12.0,3748.0,3.0
48.0, yes ,RESEARCH & DEVELOPMENT,64.0, male , laboratory technician ,1.0,5381.0,3.0
24.0, no ,RESEARCH & DEVELOPMENT,643.0,MALE,LABORATORY TECHNICIAN,1.0,2127.0,4.0
32.0,NO, research & development ,1955.0,FEMALE,HEALTHCARE REPRESENTATIVE,5.0,6667.0,3.0
27.0,NO,SALES,1965.0,MALE,SALES EXECUTIVE,7.0,4105.0,3.0
35.0,NAN, nan ,70.0,NAN,HEALTHCARE REPRESENTATIVE,4.0,9884.0,3.0
27.0,NO,SALES,293.0,FEMALE, sales executive ,7.0,9981.0,3.0
34.0,NO, research & development ,1431.0, nan ,RESEARCH SCIENTIST,4.0,2996.0,3.0
31.0, yes , nan ,,MALE,SALES EXECUTIVE,10.0,5617.0,3.0
25.0, yes ,SALES,1273.0,NAN,SALES REPRESENTATIVE,1.0,1118.0,3.0
,YES,RESEARCH & DEVELOPMENT,1821.0,FEMALE,HEALTHCARE REPRESENTATIVE,9.0,8926.0,4.0
31.0, no ,SALES,, female , sales executive ,,,
29.0,NO,SALES,690.0, female , nan ,6.0,5561.0,3.0
34.0, no , research & development ,1701.0,FEMALE, research scientist ,,2929.0,3.0
56.0, no , research & development ,112.0, male , nan ,6.0,7260.0,3.0
45.0,NO,HUMAN RESOURCES,1049.0, male ,HUMAN RESOURCES,6.0,2177.0,3.0
54.0,NO, research & development ,, female , manufacturing director ,5.0,4440.0,3.0
53.0,NO,RESEARCH & DEVELOPMENT,769.0,MALE,LABORATORY TECHNICIAN,2.0,2450.0,3.0
35.0, yes ,SALES,1639.0, male , sales executive ,13.0,10306.0,3.0
35.0, no , research & development ,2049.0, nan ,HEALTHCARE REPRESENTATIVE,10.0,5689.0,3.0
24.0, yes , research & development ,45.0, male , research scientist ,,2293.0,3.0
,NO, research & development ,1837.0,MALE, research director ,2.0,15787.0,3.0
34.0,NO, sales ,1951.0,NAN, sales executive ,8.0,8628.0,3.0
32.0, no , research & development ,8.0, male ,LABORATORY TECHNICIAN,7.0,3068.0,3.0
26.0,NO,HUMAN RESOURCES,177.0,FEMALE, human resources ,8.0,2942.0,4.0
48.0, no , research & development ,1116.0, male , manager ,5.0,16885.0,
27.0,NO,RESEARCH & DEVELOPMENT,1027.0, female ,MANUFACTURING DIRECTOR,3.0,4227.0,3.0
46.0,NO,RESEARCH & DEVELOPMENT,288.0,MALE,HEALTHCARE REPRESENTATIVE,4.0,9396.0,3.0
33.0,NAN,RESEARCH & DEVELOPMENT,998.0,FEMALE,HEALTHCARE REPRESENTATIVE,6.0,5488.0,3.0
27.0, no ,RESEARCH & DEVELOPMENT,725.0, female , manufacturing director ,9.0,7412.0,3.0
, no , human resources ,,FEMALE,MANAGER,,19658.0,3.0
52.0, nan ,RESEARCH & DEVELOPMENT,,MALE, manager ,33.0,,3.0
27.0, nan , nan ,1870.0,FEMALE, research scientist ,7.0,4774.0,3.0
,NO,RESEARCH & DEVELOPMENT,1721.0,MALE,LABORATORY TECHNICIAN,5.0,3477.0,3.0
33.0, yes ,RESEARCH & DEVELOPMENT,328.0,FEMALE, laboratory technician ,9.0,2707.0,4.0
32.0,YES, sales ,1734.0, male , sales executive ,0.0,6735.0,3.0
40.0,NO,SALES,1548.0, male , sales executive ,8.0,5473.0,
37.0,NO,RESEARCH & DEVELOPMENT,460.0, male , manufacturing director ,6.0,6347.0,3.0
26.0,NAN, research & development ,560.0, female , research scientist ,3.0,2886.0,4.0
29.0,NO, sales ,766.0, male , sales representative ,,2297.0,
36.0,NO, sales ,154.0,FEMALE, sales executive ,9.0,9738.0,3.0
35.0, yes , research & development ,1010.0, male ,LABORATORY TECHNICIAN,4.0,3743.0,4.0
33.0, yes ,RESEARCH & DEVELOPMENT,328.0,FEMALE, laboratory technician ,9.0,2707.0,4.0
28.0,NO, research & development ,930.0, female ,RESEARCH SCIENTIST,2.0,2377.0,
